day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
01,4.0,2024.0,28.0,65.0,12.0,0.5,75.2,8.5,22.3,3.2,11.5,4.8,not fire,Uttarakhand
02,4.0,2024.0,30.0,60.0,14.0,0.2,78.5,9.2,24.1,3.8,12.8,5.5,not fire,Uttarakhand
03,4.0,2024.0,32.0,55.0,15.0,0.0,82.1,10.5,28.7,4.5,15.2,7.2,fire,Uttarakhand
04,4.0,2024.0,33.0,50.0,16.0,0.0,85.3,12.1,32.5,5.2,17.8,9.1,fire,Uttarakhand
05,4.0,2024.0,31.0,58.0,13.0,0.3,80.2,9.8,25.6,4.0,13.4,6.1,fire,Uttarakhand
06,4.0,2024.0,29.0,62.0,11.0,1.2,76.8,8.2,21.8,3.1,10.9,4.5,not fire,Uttarakhand
07,4.0,2024.0,27.0,68.0,10.0,2.5,72.5,7.1,18.9,2.5,9.2,3.2,not fire,Uttarakhand
08,4.0,2024.0,26.0,72.0,9.0,3.8,68.2,6.3,16.4,2.0,8.1,2.5,not fire,Uttarakhand
09,4.0,2024.0,28.0,65.0,12.0,0.0,77.5,8.8,23.2,3.5,12.1,5.2,not fire,Uttarakhand
10,4.0,2024.0,30.0,58.0,14.0,0.0,81.2,10.2,27.8,4.2,14.5,6.8,fire,Uttarakhand
11,4.0,2024.0,32.0,52.0,16.0,0.0,84.5,11.8,31.2,5.0,16.8,8.5,fire,Uttarakhand
12,4.0,2024.0,34.0,48.0,18.0,0.0,87.2,13.5,35.8,5.8,19.5,10.2,fire,Uttarakhand
13,4.0,2024.0,31.0,55.0,15.0,0.1,79.8,9.5,24.8,3.9,12.9,5.8,fire,Uttarakhand
14,4.0,2024.0,29.0,62.0,13.0,0.8,75.2,8.3,22.1,3.0,11.2,4.7,not fire,Uttarakhand
15,4.0,2024.0,27.0,70.0,11.0,2.1,71.8,7.2,19.2,2.4,9.4,3.1,not fire,Uttarakhand
01,5.0,2024.0,35.0,45.0,18.0,0.0,88.5,14.2,38.5,6.2,21.2,11.5,fire,Himachal Pradesh
02,5.0,2024.0,36.0,42.0,20.0,0.0,90.1,15.8,42.3,6.8,23.5,13.2,fire,Himachal Pradesh
03,5.0,2024.0,34.0,48.0,16.0,0.2,86.3,13.1,35.2,5.6,19.8,10.5,fire,Himachal Pradesh
04,5.0,2024.0,32.0,55.0,14.0,0.5,82.5,11.5,30.8,4.8,17.2,8.8,fire,Himachal Pradesh
05,5.0,2024.0,30.0,62.0,12.0,1.2,78.2,9.8,26.5,4.0,14.5,6.5,fire,Himachal Pradesh
06,5.0,2024.0,28.0,68.0,10.0,2.8,74.5,8.2,22.8,3.2,11.8,4.8,not fire,Himachal Pradesh
07,5.0,2024.0,27.0,72.0,9.0,4.5,70.2,7.1,19.5,2.6,9.8,3.2,not fire,Himachal Pradesh
08,5.0,2024.0,26.0,75.0,8.0,5.2,67.8,6.5,17.2,2.2,8.5,2.5,not fire,Himachal Pradesh
09,5.0,2024.0,28.0,70.0,10.0,3.0,73.5,7.8,20.8,2.9,10.5,3.8,not fire,Himachal Pradesh
10,5.0,2024.0,30.0,62.0,12.0,1.5,77.8,9.2,24.5,3.7,13.2,5.5,fire,Himachal Pradesh
11,5.0,2024.0,32.0,55.0,14.0,0.8,81.5,10.8,28.2,4.5,15.8,7.2,fire,Himachal Pradesh
12,5.0,2024.0,34.0,50.0,16.0,0.3,85.2,12.5,32.5,5.3,18.5,9.5,fire,Himachal Pradesh
13,5.0,2024.0,35.0,47.0,17.0,0.0,87.8,13.8,36.8,6.0,20.8,11.2,fire,Himachal Pradesh
14,5.0,2024.0,33.0,52.0,15.0,0.6,83.2,11.2,30.2,4.7,16.5,8.0,fire,Himachal Pradesh
15,5.0,2024.0,31.0,58.0,13.0,1.8,79.5,9.5,25.8,3.9,14.2,6.2,fire,Himachal Pradesh
01,6.0,2024.0,38.0,40.0,22.0,0.0,91.5,16.5,45.2,7.5,25.8,14.5,fire,Jammu & Kashmir
02,6.0,2024.0,39.0,38.0,24.0,0.0,92.8,17.8,48.5,8.2,28.2,16.2,fire,Jammu & Kashmir
03,6.0,2024.0,37.0,42.0,20.0,0.1,89.2,15.2,41.8,6.8,23.5,12.8,fire,Jammu & Kashmir
04,6.0,2024.0,35.0,48.0,18.0,0.3,85.8,13.5,36.2,5.8,19.8,10.5,fire,Jammu & Kashmir
05,6.0,2024.0,33.0,55.0,16.0,0.8,82.2,11.8,31.5,4.8,17.2,8.5,fire,Jammu & Kashmir
06,6.0,2024.0,31.0,62.0,14.0,1.5,78.5,10.2,27.2,4.0,14.5,6.5,fire,Jammu & Kashmir
07,6.0,2024.0,29.0,68.0,12.0,2.8,74.8,8.5,23.2,3.2,11.8,4.8,not fire,Jammu & Kashmir
